Player,Weekly Wages,Annual_Wages_Y,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,Annual_Wages_Imputed,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Brandon Austin,15000.0,780000.0,ENG,GK,Tottenham,Premier League,25,1999,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,132912000.0,13.567049198665774,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005868544600938967,0.5070849426999461,132468773.78328568,625,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Taiwo Awoniyi,50000.0,2600000.0,NGA,FW,Nott'ham Forest,Premier League,26,1997,4.6,9,1.95,5,0,1,2,1,0,1,0.22,0.9966652656139827,0.494606050895107,93457000.0,14.77102200299171,2599999.9999999995,1.0869565217391306,0.0,0.2173913043478261,0.4347826086956522,0.2173913043478261,0.0,1.956521739130435,0.2173913043478261,0.1111111111111111,0.2173913043478261,0.0,0.027820280984837943,0.5070849426999461,93145345.72848599,676,1,5.6521739130434785,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Yasin Ayari,8000.0,416000.0,SWE,MF,Brighton,Premier League,20,2003,21.8,61,2.79,36,13,3,3,4,2,6,0.27,0.9966652656139827,0.494606050895107,60645000.0,12.9384405392434,415999.9999999999,1.6513761467889907,0.5963302752293578,0.13761467889908258,0.13761467889908258,0.18348623853211007,0.09174311926605504,2.7981651376146788,0.27522935779816515,0.09836065573770493,2.0,0.13761467889908258,0.006859592711682742,0.5070849426999461,60442765.03315998,400,0,5.5045871559633035,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Jordan Ayew,45396.01861908456,2360592.7075252132,GHA,FW,Crystal Palace,Premier League,32,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,67828800.0,14.782559640594659,2630171.577435562,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.03877661962817508,0.5070849426999461,67602608.96827771,1024,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Benoît Badiashile,90000.0,4680000.0,FRA,DF,Chelsea,Premier League,23,2001,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,164788000.0,15.358808667893829,4679999.999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028400126222783196,0.5070849426999461,164238475.78999698,529,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Leon Bailey,124615.0,6480000.0,JAM,FW,Aston Villa,Premier League,26,1997,12.7,38,3.01,23,1,8,3,3,0,4,0.32,0.9966652656139827,0.494606050895107,125897200.0,15.684231068328458,6480000.000000004,1.8110236220472442,0.07874015748031496,0.6299212598425197,0.2362204724409449,0.2362204724409449,0.0,2.9921259842519685,0.31496062992125984,0.10526315789473684,0.2362204724409449,-0.31496062992125984,0.05147056487356354,0.5070849426999461,125477366.27805671,676,1,8.188976377952756,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Baleba,12500.0,650000.0,CMR,MF,Brighton,Premier League,20,2004,29.6,66,2.23,55,0,2,5,1,3,4,0.14,0.9966652656139827,0.494606050895107,60645000.0,13.38472764187182,649999.9999999998,1.8581081081081081,0.0,0.06756756756756756,0.16891891891891891,0.03378378378378378,0.10135135135135134,2.22972972972973,0.13513513513513511,0.060606060606060594,0.3333333333333333,0.06756756756756756,0.010718113612004284,0.5070849426999461,60442765.03315998,400,0,2.702702702702702,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ross Barkley,60000.0,3120000.0,ENG,MF,Aston Villa,Premier League,30,1993,6.5,18,2.78,15,1,2,0,0,0,3,0.46,0.9966652656139827,0.494606050895107,125897200.0,14.953343559785665,3120000.0000000005,2.3076923076923075,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,2.769230769230769,0.46153846153846156,0.16666666666666669,0.0,0.15384615384615385,0.024782123828012065,0.5070849426999461,125477366.27805671,900,1,13.846153846153847,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Harvey Barnes,80000.0,4160000.0,ENG,FW,Newcastle Utd,Premier League,26,1997,19.5,64,3.27,44,1,7,6,6,0,9,0.46,0.9966652656139827,0.494606050895107,116584000.0,15.241025632237447,4160000.0000000037,2.2564102564102564,0.05128205128205128,0.358974358974359,0.3076923076923077,0.3076923076923077,0.0,3.282051282051282,0.46153846153846156,0.140625,0.3076923076923077,0.10256410256410259,0.035682426404995575,0.5070849426999461,116195223.32634056,676,1,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Calvin Bassey,45000.0,2340000.0,NGA,DF,Fulham,Premier League,24,1999,34.2,23,0.67,19,1,2,0,0,1,3,0.09,0.9966652656139827,0.494606050895107,77519000.0,14.665661487333884,2339999.9999999986,0.5555555555555555,0.029239766081871343,0.05847953216374269,0.0,0.0,0.029239766081871343,0.6725146198830408,0.08771929824561403,0.13043478260869568,0.0,0.029239766081871343,0.03018614791212475,0.5070849426999461,77260494.72513032,576,0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Altay Bayındır,35000.0,1820000.0,TUR,GK,Manchester Utd,Premier League,26,1998,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,159341000.0,14.414347059052979,1820000.0000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011422044545973736,0.5070849426999461,158809640.08819762,676,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
